Course code,Title,Length,Priority,Available blocks,Unavailable blocks,Minimum section size,Target section size,Maximum section size,Number of sections,Total credits
ARTBND,Band - High ,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,25,40,1,1
ARTChor,Chorus - High ,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,20,40,1,1
ARTDRAW,Drawing and Painting,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,15,26,1,1
ARTSTD1,Studio Art I,1,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,15,26,1,0.5
ARTSTD2,Studio Art II,1,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,15,26,1,0.5
BIB10,Bible 10,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,12,20,26,2,1
BIB11,Bible 11,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,12,20,26,2,1
BIB12,Bible 12,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,12,20,26,2,1
BIB9,Bible 9,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,12,20,26,2,1
DEBIO101,Dual Enrollment Biology 101,1,Core course,2B,"1A, 1B, 2A, 3, 4A, 4B",7,15,26,1,0.5
DECHEM105,Dual Enrollment Chemistry 105,1,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,15,26,1,0.5
DEENG101,Dual Enrollment English 101,1,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,20,26,1,0.5
DEENG151,Dual Enrollment English 151,1,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,20,26,1,0.5
DEITCHG,Dual Enrollment Intro. to Teaching 201,1,Elective,"1A, 1B, 2A, 2B, 3, 4A, 4B",,5,15,26,1,0.5
DESOCIP,Dual Enrollment Intro. to Psych. 101,1,Elective,"1A, 1B, 2A, 2B, 3, 4A, 4B",,5,15,26,1,0.5
DESOCWCIV2,Dual Enrollment World Civ. 151,1,Core course,"2A, 2B","1A, 1B, 3, 4A, 4B",7,20,26,1,0.5
DEWCIV1,Dual Enrollment World Civ. 101,1,Core course,"2A, 2B","1A, 1B, 3, 4A, 4B",7,20,26,1,0.5
ENG10,English 10,2,Core course,"1A, 1B, 2A, 2B, 3, 4A, 4B",,7,20,26,1,1
