College Year,Request start term,Title,Type,student ID,Course ID,Length,Course code,Priority,Department(s),Credits
2nd Year,First term,Bible 10,Required,5407488,278034,2,BIB10,Core course,Bible,1
2nd Year,First term,English 10 Honors,Requested,5407488,278050,2,ENG10H,Core course,English,1
2nd Year,First term,Alg II Honors,Requested,5407488,278071,2,MATALG2H,Core course,Mathematics,1
2nd Year,First term,Physical Science,Requested,5407488,278099,2,SCIPHY,Core course,Science,1
2nd Year,First term,American Government & Politics,Requested,5407488,278100,2,SOC10GOV,Core course,Social Studies,1
2nd Year,First term,Spanish III,Requested,5407488,278066,2,LANSP3,Core course,Foreign Language,1
2nd Year,First term,Digital Imaging & Editing,Requested,5407488,278113,1,TECHDIGIT,Core course,Technology,0.5
2nd Year,Second Term,Graphic Design,Requested,5407488,278114,1,TECHGRAPHIC,Core course,Technology,0.5
2nd Year,First term,Chemistry Honors,Recommended,5407488,278096,2,SCICHEM10H,Core course,Science,1
2nd Year,First term,American Government & Politics Honors,Recommended,5407488,278101,2,SOC10GOVH,Core course,Social Studies,1
1st Year,First term,English 9,Requested,5361799,278058,2,ENG9,Core course,English,1
1st Year,First term,Bible 9,Required,5361799,278040,2,BIB9,Core course,Bible,1
1st Year,First term,Biology Honors,Requested,5361799,278095,2,SCIBIOH,Core course,Science,1
1st Year,First term,US History,Required,5361799,278106,2,SOC9,Core course,Social Studies,1
1st Year,First term,Spanish I,Requested,5361799,278064,2,LANSP1,Core course,Foreign Language,1
1st Year,Second Term,Graphic Design,Requested,5361799,278114,1,TECHGRAPHIC,Core course,Technology,0.5
1st Year,First term,Digital Imaging & Editing,Requested,5361799,278113,1,TECHDIGIT,Core course,Technology,0.5
1st Year,First term,Geometry Honors,Requested,5361799,278076,2,MATGEOMH,Core course,Mathematics,1
3rd year,First term,Bible 11,Required,5361901,278035,2,BIB11,Core course,Bible,1
3rd year,First term,American Literature,Requested,5361901,278051,2,ENG11,Core course,English,1
3rd year,First term,Physical Science,Requested,5361901,278099,2,SCIPHY,Core course,Science,1
3rd year,First term,World History,Requested,5361901,278102,2,SOC11,Core course,Social Studies,1
3rd year,First term,Algebra II,Requested,5361901,278070,2,MATALG2,Core course,Mathematics,1
3rd year,First term,Spanish II,Requested,5361901,278065,2,LANSP2,Core course,Foreign Language,1
3rd year,Any term,Health - High ,Requested,5361901,278087,1,PEHealthHS,Core course,Physical Education,0.5
3rd year,First term,US History,Recommended,5361901,278106,2,SOC9,Core course,Social Studies,1
3rd year,Any term,Physical Education - High ,Requested,5361901,278088,1,PEHS,Core course,Physical Education,0.5
3rd year,First term,Bible 11,Required,5361882,278035,2,BIB11,Core course,Bible,1
3rd year,First term,American Literature Honors,Requested,5361882,278052,1,ENG11AMLTH-,Core course,English,0.5
3rd year,First term,Trig/Pre-Calculus Hon,Requested,5361882,278083,2,MATTrigH,Core course,Mathematics,1
3rd year,First term,Dual Enrollment World Civ. 101,Requested,5361882,278048,1,DEWCIV1,Core course,Social Studies,0.5
3rd year,First term,Anatomy & Physiology,Requested,5361882,278093,1,SCIANATPH,Elective,Science,0.5
3rd year,First term,Studio Art I,Requested,5361882,278032,1,ARTSTD1,Core course,Fine Arts,0.5
3rd year,Second Term,Studio Art II,Requested,5361882,278033,1,ARTSTD2,Core course,Fine Arts,0.5
3rd year,First term,Trig/PreCalculus,Recommended,5361882,278082,2,MATTRIG,Core course,Mathematics,1
3rd year,First term,World History,Recommended,5361882,278102,2,SOC11,Core course,Social Studies,1
3rd year,First term,Spanish III,Requested,5361882,278066,2,LANSP3,Core course,Foreign Language,1
3rd year,Second Term,Marine Biology,Requested,5361882,278098,1,SCIMABIO,Elective,Science,0.5
4th Year,First term,Bible 12,Required,5361922,278036,2,BIB12,Core course,Bible,1
4th Year,First term,Dual Enrollment English 151,Requested,5361922,278044,1,DEENG151,Core course,English,0.5
4th Year,First term,Dual Enrollment Biology 101,Requested,5361922,278041,1,DEBIO101,Core course,Science,0.5
4th Year,First term,Trig/PreCalculus,Requested,5361922,278082,2,MATTRIG,Core course,Mathematics,1
4th Year,First term,Yearbook,Requested,5361922,278116,2,TECHYEAR,Elective,Technology,1
4th Year,First term,Study Hall,Requested,5361922,280091,2,STUDY,Core course,Social Studies,0
4th Year,First term,Executive Internship I,Requested,5361922,288569,1,INTERN1,Elective,Career Study,0.5
4th Year,Second Term,Executive Internship II,Requested,5361922,288570,1,INTERN2,Elective,Career Study,0.5
4th Year,First term,Chemistry Honors,Recommended,5361922,278096,2,SCICHEM10H,Core course,Science,1
4th Year,Any term,Financial Literacy,Requested,5361922,278063,1,FINLIT,Core course,Social Studies,0.5
4th Year,Second Term,World Literature Honors,Requested,5361922,278054,1,ENG12WORLDH,Core course,English,0.5
2nd Year,First term,Bible 10,Required,5361842,278034,2,BIB10,Core course,Bible,1
2nd Year,First term,English 10,Requested,5361842,278049,2,ENG10,Core course,English,1
2nd Year,First term,Alg II Honors,Requested,5361842,278071,2,MATALG2H,Core course,Mathematics,1
2nd Year,First term,Chemistry Honors,Requested,5361842,278096,2,SCICHEM10H,Core course,Science,1
2nd Year,First term,American Government & Politics Honors,Requested,5361842,278101,2,SOC10GOVH,Core course,Social Studies,1
2nd Year,First term,Spanish II,Requested,5361842,278065,2,LANSP2,Core course,Foreign Language,1
2nd Year,First term,Health - High ,Requested,5361842,278087,1,PEHealthHS,Core course,Physical Education,0.5
2nd Year,First term,English 10 Honors,Recommended,5361842,278050,2,ENG10H,Core course,English,1
2nd Year,Any term,Physical Education - High ,Requested,5361842,278088,1,PEHS,Core course,Physical Education,0.5
3rd year,First term,Bible 11,Required,5361905,278035,2,BIB11,Core course,Bible,1
3rd year,First term,American Literature Honors,Requested,5361905,278052,1,ENG11AMLTH-,Core course,English,0.5
3rd year,First term,Trig/Pre-Calculus Hon,Requested,5361905,278083,2,MATTrigH,Core course,Mathematics,1
3rd year,First term,World History,Requested,5361905,278102,2,SOC11,Core course,Social Studies,1
3rd year,Second Term,Marine Biology,Requested,5361905,278098,1,SCIMABIO,Elective,Science,0.5
3rd year,First term,Anatomy & Physiology,Requested,5361905,278093,1,SCIANATPH,Elective,Science,0.5
3rd year,First term,Spanish III,Requested,5361905,278066,2,LANSP3,Core course,Foreign Language,1
3rd year,First term,Studio Art I,Requested,5361905,278032,1,ARTSTD1,Core course,Fine Arts,0.5
3rd year,Second Term,Studio Art II,Requested,5361905,278033,1,ARTSTD2,Core course,Fine Arts,0.5
3rd year,First term,Trig/PreCalculus,Recommended,5361905,278082,2,MATTRIG,Core course,Mathematics,1
2nd Year,First term,Bible 10,Required,5361867,278034,2,BIB10,Core course,Bible,1
2nd Year,First term,English 10 Honors,Requested,5361867,278050,2,ENG10H,Core course,English,1
2nd Year,First term,Alg II Honors,Requested,5361867,278071,2,MATALG2H,Core course,Mathematics,1
2nd Year,First term,Chemistry Honors,Requested,5361867,278096,2,SCICHEM10H,Core course,Science,1
2nd Year,First term,American Government & Politics Honors,Requested,5361867,278101,2,SOC10GOVH,Core course,Social Studies,1
2nd Year,First term,Spanish II,Requested,5361867,278065,2,LANSP2,Core course,Foreign Language,1
2nd Year,First term,Band - High ,Requested,5361867,278023,2,ARTBND,Core course,Fine Arts,1
1st Year,First term,Bible 9,Required,5642283,278040,2,BIB9,Core course,Bible,1
1st Year,First term,US History,Required,5642283,278106,2,SOC9,Core course,Social Studies,1
1st Year,First term,Algebra 1,Requested,5642283,278068,2,MATALG1,Core course,Mathematics,1
1st Year,First term,Biology,Requested,5642283,278094,2,SCIBIO,Core course,Science,1
1st Year,First term,English 9,Requested,5642283,278058,2,ENG9,Core course,English,1
1st Year,First term,Studio Art I,Requested,5642283,278032,1,ARTSTD1,Core course,Fine Arts,0.5
1st Year,Second Term,Studio Art II,Requested,5642283,278033,1,ARTSTD2,Core course,Fine Arts,0.5
1st Year,First term,Spanish I,Requested,5642283,278064,2,LANSP1,Core course,Foreign Language,1
2nd Year,First term,Bible 10,Required,5361838,278034,2,BIB10,Core course,Bible,1
2nd Year,First term,English 10,Requested,5361838,278049,2,ENG10,Core course,English,1
2nd Year,First term,Earth and Space Science,Requested,5361838,278097,2,SCIERTH,Core course,Science,1
