Student ID,1A,1B,2A,2B,3,4A,4B
5303312,bib11 (Sec 1),bib11 (Sec 1),---,---,bib11 (Sec 1),bib11 (Sec 1),---
5361789,---,techdigit (Sec 1),deeng151 (Sec 1),bib12 (Sec 2),techgraphic (Sec 1),deeng151 (Sec 1),---
5361796,---,soc9 (Sec 2),pehs (Sec 1),---,---,---,bib9 (Sec 1)
5361797,lansp1 (Sec 1),soc9 (Sec 2),soc9 (Sec 1),---,---,bib9 (Sec 1),bib9 (Sec 1)
5361798,pehs (Sec 2),soc9 (Sec 2),pehs (Sec 1),---,---,bib9 (Sec 1),scibio (Sec 1)
5361799,---,techdigit (Sec 1),---,soc9 (Sec 1),techgraphic (Sec 1),bib9 (Sec 1),---
5361800,matgeom (Sec 2),---,scibio (Sec 1),matgeom (Sec 2),---,---,scibio (Sec 1)
5361801,soc9 (Sec 2),bib9 (Sec 2),soc9 (Sec 1),---,---,---,---
5361802,lansp1 (Sec 1),bib9 (Sec 2),pehs (Sec 1),soc9 (Sec 1),matgeomh (Sec 1),eng9h (Sec 1),lansp1 (Sec 1)
5361803,---,---,techgraphic (Sec 1),---,soc9 (Sec 1),bib9 (Sec 1),---
5361804,soc9 (Sec 2),bib9 (Sec 2),---,pehs (Sec 1),eng9h (Sec 1),---,bib9 (Sec 1)
5361805,---,---,scibio (Sec 1),---,matgeomh (Sec 1),---,scibio (Sec 1)
5361806,soc9 (Sec 2),bib9 (Sec 2),---,---,eng9h (Sec 1),eng9h (Sec 1),---
5361807,pehs (Sec 2),---,---,soc9 (Sec 1),---,bib9 (Sec 1),---
5361808,---,bib9 (Sec 2),soc9 (Sec 1),---,eng9h (Sec 1),eng9h (Sec 1),scibio (Sec 1)
5361809,---,---,---,---,soc9 (Sec 1),---,bib9 (Sec 1)
5361810,---,bib9 (Sec 2),scibio (Sec 1),---,soc9 (Sec 1),eng9h (Sec 1),bib9 (Sec 1)
5361811,---,---,---,---,matgeomh (Sec 1),---,---
5361812,---,---,---,---,matgeomh (Sec 1),---,---
5361813,---,soc9 (Sec 2),---,pehs (Sec 1),techgraphic (Sec 1),---,bib9 (Sec 1)
5361814,---,soc9 (Sec 2),scibio (Sec 1),---,---,bib9 (Sec 1),scibio (Sec 1)
5361816,---,bib9 (Sec 2),soc9 (Sec 1),soc9 (Sec 1),---,eng9h (Sec 1),---
5361817,pehs (Sec 2),---,scibio (Sec 1),soc9 (Sec 1),---,bib9 (Sec 1),---
5361818,soc9 (Sec 2),bib9 (Sec 2),pehs (Sec 1),pehs (Sec 1),matgeomh (Sec 1),---,---
5361819,lansp1 (Sec 1),---,soc9 (Sec 1),---,---,---,bib9 (Sec 1)
5361820,soc9 (Sec 2),---,pehs (Sec 1),---,---,bib9 (Sec 1),---
5361821,matgeom (Sec 2),---,---,matgeom (Sec 2),eng9h (Sec 1),eng9h (Sec 1),scibio (Sec 1)
5361822,---,soc9 (Sec 2),---,matgeom (Sec 2),eng9h (Sec 1),---,bib9 (Sec 1)
5361825,---,---,---,pehs (Sec 1),soc9 (Sec 1),bib9 (Sec 1),bib9 (Sec 1)
5361827,matalg2 (Sec 2),matalg2 (Sec 2),bib10 (Sec 2),matalg2 (Sec 1),---,matalg2 (Sec 2),matalg2 (Sec 1)
5361828,---,scierth (Sec 1),---,---,---,techdigit (Sec 1),bib10 (Sec 1)
5361830,bib10 (Sec 1),---,lansp2 (Sec 2),bib10 (Sec 1),---,scierth (Sec 1),matalg2h (Sec 1)
5361831,matgeom (Sec 2),---,lansp2 (Sec 2),---,scierth (Sec 1),---,bib10 (Sec 1)
5361832,---,---,scichem10h (Sec 2),---,bib10 (Sec 1),---,scichem10h (Sec 2)
5361833,lansp1 (Sec 1),scichem10h (Sec 2),bib10 (Sec 2),bib10 (Sec 1),---,---,---
5361834,---,scichem10h (Sec 2),lansp2 (Sec 2),lansp2 (Sec 1),bib10 (Sec 1),---,eng10h (Sec 1)
5361835,matgeom (Sec 2),techdigit (Sec 1),techgraphic (Sec 1),bib10 (Sec 1),scierth (Sec 1),---,---
5361836,matgeom (Sec 2),scierth (Sec 1),techgraphic (Sec 1),lansp2 (Sec 1),bib10 (Sec 1),techdigit (Sec 1),---
5361838,bib10 (Sec 1),---,matalg2 (Sec 1),matalg2 (Sec 1),---,matalg2 (Sec 1),matalg2 (Sec 1)
5361840,bib10 (Sec 1),scierth (Sec 1),---,bib10 (Sec 1),bib10 (Sec 1),lansp2 (Sec 1),---
5361842,---,lansp2 (Sec 1),pehs (Sec 1),bib10 (Sec 1),bib10 (Sec 1),---,matalg2h (Sec 1)
5361843,matalg2 (Sec 1),matalg2 (Sec 2),bib10 (Sec 2),lansp2 (Sec 1),matalg2 (Sec 2),matalg2 (Sec 1),eng10h (Sec 1)
5361844,---,scichem10h (Sec 2),---,---,---,scichem10h (Sec 1),eng10h (Sec 1)
